"","State","County","Presence.of.Water.Violation","standardized_deaths","Percentage_Adults_with_Obesity","Percentage_Physically_Inactive","Percentage__With.Access.to.Exercise.Opportunities","Percentage_Excessive.Drinking","Percentage_Driving.Deaths.with.Alcohol.Involvement","Percentage_Uninsured","Primary.Care.Physicians.Ratio","Dentist.Ratio","Mental.Health.Provider.Ratio","Preventable.Hospitalization.Rate","Percentage_Vaccinated","High.School.Graduation.Rate","Social.Association.Rate","Violent.Crime.Rate","Injury.Death.Rate","Average.Daily.PM2.5","Percentage_.Drive.Alone.to.Work","Percentage_Long.Commute...Drives.Alone","Infant.Mortality.Rate","Percentage_Adults.with.Diabetes","HIV.Prevalence.Rate","Drug.Overdose.Mortality.Rate","Percentage_Insufficient.Sleep","Other.Primary.Care.Provider.Rate","Percentage_Disconnected.Youth","Average.Grade.Performance","Percentage_.Enrolled.in.Free.or.Reduced.Lunch","Suicide.Rate..Age.Adjusted.","Percentage_.Not.Proficient.in.English","Percentage_Female"
"113","Louisiana","Natchitoches","Yes",3.50667,36,28,69,18,21,10,1774,3514,245,6439,42,80,12.6,638,76,9.6,84,24,14,16,352,22.0328776529143,38,91.8354430379747,8,2.6,59,14,0,51.9
"114","Louisiana","Orleans","Yes",27.3621036904228,30,24,94,23,31,10,1054,1401,185,5209,37,73,9.9,1025,112,9,68,29,7,11,1432,39,41,91.8354430379747,9,2.7,64,12,2,52.7
"115","Louisiana","Ouachita","Yes",4.63405581947743,40,31,78,18,27,8,1199,1593,203,6507,43,83,12.4,1378,84,9.5,85,22,8,14,463,18,40,91.8354430379747,13,2.9,60,13,0,52.1
"116","Louisiana","Plaquemines","Yes",2.09126842105263,38,27,45,20,64,12,5837,3902,807,4466,33,91,7.3,148,70,8.9,83,35,7.1221216307125,17,196,24,36,91.8354430379747,11.0378275771963,3.4,60,14,2,49.6
"117","Louisiana","Pointe Coupee","Yes",2.76975,31,26,34,18,53,10,3181,3134,914,4175,33,70,5.4,513,105,9.3,81,49,11,11,290,18,35,91.8354430379747,14,2.5,55,21,1,51.9
"118","Louisiana","Rapides","Yes",4.62188648648649,40,31,80,17,29,10,1230,1865,202,5244,44,78,12.8,1014,91,9.3,83,19,6,15,461,25,37,91.8354430379747,11,2.7,72,19,1,51.6
"119","Louisiana","Red River","Yes",1.43633333333333,31,34,53,17,41,9,4268,4239,1211,11679,32,84,8.2,508,79,9.4,84,38,7.1221216307125,16,196,22.0328776529143,37,91.8354430379747,11.0378275771963,2.1,77,16.8593408920752,1,51.9
"120","Louisiana","Richland","Yes",0.198776699029126,36,34,44,17,13,10,1458,2244,215,9629,24,78,10.8,485,77,9.6,88,29,11,19,283,22.0328776529143,38,91.8354430379747,16,2.4,67,11,0,51.2
"121","Louisiana","Sabine","Yes",1.26778947368421,46,37,26,19,23,13,8006,8011,751,7964,38,93,13.3,112,97,9.4,80,38,7.1221216307125,11,75,22.0328776529143,35,91.8354430379747,15,2.7,64,20,0,50.6
"122","Louisiana","St. Bernard","No",1.7779766536965,43,33,57,20,16,10,4620,3594,261,6139,33,91,4.5,239,99,9,87,48,7,13,481,48,38,91.8354430379747,14,2.9,70,16,2,51
"123","Louisiana","St. Charles","No",3.81030588235294,37,25,81,21,32,7,2931,2203,734,4636,40,82,8.5,333,67,9,88,46,6,11,282,20,35,91.8354430379747,13,3.2,52,13,1,50.9
"124","Louisiana","St. Helena","No",0.297457142857143,32,31,19,16,41,10,5182,10262,1140,9295,35,74,9.6,340,130,8.8,81,55,7.1221216307125,11,228,39,40,91.8354430379747,11.0378275771963,2.1,88,16.8593408920752,0,51.8
"125","Louisiana","St. James","Yes",1.6620233463035,38,35,32,19,37,7,4273,3506,1753,4644,38,85,6.6,580,76,9.5,83,43,14,9,408,22.0328776529143,38,91.8354430379747,11.0378275771963,3.1,58,9,0,51.7
"126","Louisiana","St. John the Baptist","Yes",4.17645692883895,43,32,82,18,32,9,3620,2699,345,4415,35,81,4.6,145,89,9.2,88,51,7,10,480,28,40,91.8354430379747,11.0378275771963,2.7,67,9,1,51.2
"127","Louisiana","St. Landry","Yes",19.4067441860465,34,32,52,18,35,10,1440,3311,465,6129,45,69,7.9,674,96,9.5,85,38,8,14,408,14,38,91.8354430379747,15,2.7,51,22,1,51.7
"128","Louisiana","St. Martin","Yes",4.34150769230769,37,33,60,20,39,10,6019,5958,2553,4054,40,84,3.3,263,84,9.6,82,40,9,15,242,10,38,91.8354430379747,10,2.9,69,19,1,50.8
"129","Louisiana","St. Mary","Yes",5.380336,38,37,89,18,22,11,1961,2489,803,5469,42,88,8.2,517,86,9,85,20,6,16,196,22,37,91.8354430379747,13,3.2,61,14,2,50.7
"130","Louisiana","St. Tammany","Yes",23.4344825700615,30,22,81,21,28,9,1232,1284,420,5753,45,83,7.6,165,84,9.3,83,46,5,11,208,32,36,91.8354430379747,6,3.3,42,17,2,51.5
"131","Louisiana","Tangipahoa","Yes",5.45389850746269,39,34,68,20,38,10,2880,2267,471,7883,39,71,8.5,870,98,8.9,79,44,8,10,367,30,39,91.8354430379747,9,2.6,47,16,1,51.6
"132","Louisiana","Tensas","Yes",0,31,33,15,12,33,11,2775.74657534247,1487,892,5893,26,84,6.5,151,86,9.2,89,28,7.1221216307125,19,217.902222222222,22.0328776529143,42,91.8354430379747,11.0378275771963,2.3,92,16.8593408920752,0,51.6
"133","Louisiana","Terrebonne","Yes",8.31608522727273,42,31,81,20,47,12,2437,1983,453,5609,44,82,5.4,404,92,8.7,82,26,7,11,230,32,38,91.8354430379747,8,2.9,54,14,2,50.8
"134","Louisiana","Union","Yes",1.32988165680473,38,32,40,17,25,10,11286,11165,1015,8385,40,65,12.4,271,67,9.8,85,57,7.1221216307125,16,163,22.0328776529143,36,91.8354430379747,25,2.7,58,16.8593408920752,1,50.5
"135","Louisiana","Vermilion","No",2.92034146341463,39,34,60,20,40,11,3165,3739,2493,5217,40,94,5.2,387,73,9.4,81,40,6,10,171,14,36,91.8354430379747,10,3.1,40,18,2,51.6
"136","Louisiana","Vernon","No",5.66744444444444,35,32,66,22,50,8,3170,1810,611,8537,39,91,8.5,292,77,9.5,85,21,8,13,147,14,37,91.8354430379747,11,3.2,61,22,1,46.7
"137","Louisiana","Washington","Yes",3.53181871345029,43,37,39,16,35,10,2120,3882,656,7237,41,82,8.1,678,121,9.1,81,43,11,23,476,67,38,91.8354430379747,13,2.6,72,11,2,50.6
"138","Louisiana","Webster","Yes",1.58524,33,31,51,16,30,9,1641,4311,422,6702,40,77,12.4,368,80,9.9,89,38,8,14,220,22.0328776529143,39,91.8354430379747,11,2.5,44,19,0,51.4
"139","Louisiana","West Baton Rouge","No",6.09707317073171,38,21,74,20,43,7,6566,6607,2202,5919,49,74,4.6,351,87,9,88,34,8,9,507,15,40,91.8354430379747,11.0378275771963,3.1,67,19,0,50.6
"140","Louisiana","West Carroll","Yes",0,47,29,33,19,25,11,3660,3661,1830,15450,25,93,18.2,402,104,9.6,85,29,7.1221216307125,25,150,22.0328776529143,36,91.8354430379747,23,2.7,92,16.8593408920752,0,49.1
"141","Louisiana","West Feliciana","No",0.501423913043478,22,14,15,20,29,7,1398,2209,814,3945,46,91,5.2,261,88,9,90,47,7.1221216307125,8,1088,22.0328776529143,39,91.8354430379747,11.0378275771963,3.1,50,19,0,34.6
"142","Louisiana","Winn","Yes",0.557461538461538,37,27,80,17,30,9,1789,2827,3534,11250,42,85,10.5,485,83,9.4,87,32,7.1221216307125,22,251,22.0328776529143,38,91.8354430379747,17,2.6,75,15,0,46.4
"143","Rhode Island","Bristol","No",0,23,20,96,21,29,3,489,2560,486,3495,54,93,10,70,78,6.8,80,41,7.1221216307125,8,75,23,31,91.8354430379747,11.0378275771963,3.6,18,14,1,51.7
"144","Rhode Island","Kent","Yes",8.77486146682189,30,24,94,18,39,4,1161,1321,315,4344,50,92,9.6,112,84,6.6,86,36,4,10,89,33,35,91.8354430379747,4,2.89247152815038,30,12,1,51.7
"145","Rhode Island","Newport","Yes",1.82582417582418,25,20,89,22,13,4,1210,1019,308,4047,50,91,12.1,164,70,6.5,76,31,7.1221216307125,8,138,30,31,91.8354430379747,11.0378275771963,3.4,32,11,1,50.6
"146","Rhode Island","Providence","Yes",25.0184789024671,29,27,96,19,33,7,1053,1652,209,4743,47,82,9.4,312,80,7.5,78,30,7,10,323,33,38,91.8354430379747,7,3,59,10,7,51.3
"147","District of Columbia","Washington","Yes",36.9988004382532,24,19,92,21,55,4,1097,1682,324,3702,49,93,11.6,75,71,6.4,84,40,4,8,47,20,33,91.8354430379747,2,3.6,22,10,1,51.6
