"","State","County","Presence.of.Water.Violation","Population","Deaths","Premature_Death_Rate","Self_Reported_Poor_health","Average.Number.of.Physically.Unhealthy.Days","Average.Number.of.Mentally.Unhealthy.Days","Low_Birthweight_percentage","Percentage_Smokers","Percentage_Adults_with_Obesity","Food.Environment.Index","Percentage_Physically_Inactive","Percentage__With.Access.to.Exercise.Opportunities","Percentage_Excessive.Drinking","Percentage_Driving.Deaths.with.Alcohol.Involvement","Chlamydia.Rate","Teen.Birth.Rate","Percentage_Uninsured","Primary.Care.Physicians.Ratio","Dentist.Ratio","Mental.Health.Provider.Ratio","Preventable.Hospitalization.Rate","Percentage_With.Annual.Mammogram","Percentage_Vaccinated","High.School.Graduation.Rate","Percentage_Some.College","Percentage_Unemployed","Percentage_Children.in.Poverty","Percentage_Single.Parent.Households","Social.Association.Rate","Violent.Crime.Rate","Injury.Death.Rate","Average.Daily.PM2.5","Percentage_.Severe.Housing.Problems","Percentage_.Drive.Alone.to.Work","Percentage_Long.Commute...Drives.Alone","Life.Expectancy","Age.Adjusted.Death.Rate","Child.Mortality.Rate","Infant.Mortality.Rate","Percentage_Frequent.Physical.Distress","Percentage_Frequent.Mental.Distress","Percentage_Adults.with.Diabetes","HIV.Prevalence.Rate","Percentage_Food.Insecure","Percentage_.Limited.Access.to.Healthy.Foods","Drug.Overdose.Mortality.Rate","Motor.Vehicle.Mortality.Rate","Percentage_Insufficient.Sleep","Other.Primary.Care.Provider.Rate","Percentage_Disconnected.Youth","Average.Grade.Performance","Median.Household.Income","Percentage_.Enrolled.in.Free.or.Reduced.Lunch","Homicide.Rate","Suicide.Rate..Age.Adjusted.","Firearm.Fatalities.Rate","Average.Traffic.Volume.per.Meter.of.Major.Roadways","Percentage_Homeowners","Percentage_Housing.Cost.Burden","Percentage_less.than.18.years.of.age","Percentage_.65.and.over","Percentage_.Not.Proficient.in.English","Percentage_Female","Percentage_Rural","standardized_deaths"
"37","Michigan","Kalamazoo","Yes",261573,2833,6792,14.62162959,3.982580687,4.324788239,7.621225984,18.00141065,31.4,7.3,19,78,22.14096251,24.65753425,857.1,20.8589334,5.5614101,1048,1480,263,3901,45,52,84.61206897,78.13031249,3.414204657,16.5,35,10.68502006,534,72.82647735,11.7,14.91288513,82,18.8,78.96654384,334.5750295,59.07088068,6.386987088,11.89180339,13.54057007,10.1,160.8,14,9.281965174,21.15238712,11.42923081,35.07563171,150,4.854114876,2.916956613,55881,49.27818192,4.450806228,12.54739044,8.788084885,430.6741106,63.83098756,12.10511685,21.63740703,14.96205686,0.789900988,51.04730623,17.54716755,12.6216589018303
"38","Michigan","Kalkaska","No",17463,298,8161,15.70547822,4.187089545,4.398141454,6.904955321,18.62356365,34.4,7.9,28,74,18.88008233,17.64705882,232.5,27.8647464,8.222926267,3527,3565,2228,3934,36,36,78.16091954,52.8686462,5.859774821,21.8,33,7.939208348,368,73.24749642,7.4,14.08250356,81,43.1,76.5577156,410.2235766,66.2031695142982,7.1221216307125,12.52148646,13.863173,14.9,54.3,13.9,2.559441533,22.0328776529143,18.90359168,35.60498508,61,16.47361647,2.869251745,46068,63.5213495,8.163662170125,14.68801443,11.44492132,79.22636379,80.73959938,11.52896762,20.99977558,20.34896768,0.223120063,48.68716338,84.44586953,1.94033333333333
"39","Michigan","Kent","Yes",643140,6023,5784,13.09800215,3.798426742,3.898378819,7.93123562,15.05200548,29.6,8.1,20,91,22.14728092,28.06451613,629.8,22.88450582,6.352248774,1109,1391,287,4069,45,50,88.54913203,70.73727179,2.968514907,14.6,32,12.45771623,373,64.57624062,11.5,13.93827003,81,20.9,79.94048625,290.0467214,48.30544194,5.469227552,11.45922375,12.50702844,9,183.5,11.3,5.284038419,15.42771012,9.423521154,33.26315284,187,5.379498649,3.008980365,61675,49.26292734,3.058708537,11.7824377,6.666336465,614.5355194,69.05357053,11.3686859,24.13771479,13.65829186,2.905174529,50.69701707,15.67533213,11.5601665935993
"40","Michigan","Lake","No",11763,249,7965,19.26249243,4.759722095,4.921727013,9.985935302,20.4403238,27.4,6.8,29,91,16.00442054,40,283,40.81632653,7.966248914,12013,1485,1485,5278,39,34,79.41176471,38.74574623,6.873977087,36.4,29,8.324315325,329,70.50124667,8.1,18.0887372,78,41.3,77.04530117,414.9143542,66.2031695142982,7.1221216307125,14.64208228,15.7675937,8.1,95.1,16.9,8.286252188,22.0328776529143,16.8935218118511,36.41614218,42,11.0378275771963,2.627251673,36044,95.3271028,8.163662170125,24.17650631,14.642515601938,23.08836595,84.10449413,16.52295502,16.18550627,28.62553657,0.204063526,49.15411161,100,0
"41","Michigan","Lapeer","No",88202,1215,6516,13.90083968,3.804312159,4.187821561,6.938483548,16.3859935,33.5,8.6,22,58,19.66326726,31.57894737,178.1,15.13632719,6.331059928,3149,1914,704,5701,42,44,90.60832444,61.17567356,5.165703788,13.9,26,9.753442058,187,63.25555243,10.3,13.84521447,87,54.5,78.16881306,343.6863204,28.06998784,4.322766571,11.16385579,12.74407841,11.1,61,10,2.569364524,18.90059045,11.17173712,35.88080674,42,12.73009537,3.07039093,65209,47.81967213,8.163662170125,15.6208913,13.14989979,46.90289224,83.52641056,11.46787585,20.64683964,18.13400282,0.794199719,49.29454265,77.34802251,14.5332840909091
"42","Michigan","Leelanau","No",21639,225,4657,11.54902595,3.451805279,3.795044933,5.821025196,13.57926846,27.7,9,15,59,18.64730524,15,157,12.73388773,8.52861575,2707,2176,1979,2677,53,56,91.24087591,73.84823848,4.224817241,10.6,25,16.16105647,78,67.83887351,7.5,13.74513077,75,25.7,82.83151761,212.9974084,66.2031695142982,7.1221216307125,10.27006157,11.87719627,9.7,31.5,8.7,0.555098994,22.0328776529143,11.80823428,30.26728317,32,11.0378275771963,3.270881539,67349,41.70854271,8.163662170125,13.63209778,14.642515601938,7.581695021,87.62019231,11.16949911,16.05862893,30.92721926,0.727570589,50.61569564,91.26128616,0
"43","Michigan","Lenawee","Yes",98474,1354,6870,14.360185,3.990087468,4.158937125,7.059309206,17.11459065,39.9,8,28,71,19.87074067,22.80701754,308.2,23.82417582,5.930195831,3653,2184,439,3525,46,47,89.01482127,60.21152922,4.084675015,14,37,12.67452825,189,65.10984497,10.8,13.45925241,83,39.2,78.08286947,354.0134073,41.54845143,6.320417697,11.85151039,12.88992524,13,58.4,10.9,7.693844041,20.31192344,14.46784377,37.83933111,49,6.908686794,2.89247152815038,55762,48.93114754,2.170176566,13.72112085,9.330382769,50.86311638,77.38475224,11.26775663,21.07850121,18.97400932,1.017265616,49.46064763,51.82196773,1.55077165354331
"44","Michigan","Livingston","Yes",188482,1896,5202,10.55743449,3.422847403,4.062124594,6.033630069,13.75293633,27.6,8.9,22,89,20.21898286,29.21348315,198.8,6.461378578,4.05999874,2018,1663,542,3837,46,53,91.32791328,75.06385234,3.291336285,5.5,19,7.540165884,117,62.92371375,10.8,10.41353114,87,53.8,80.73302762,257.2757532,32.6041673,4.310702147,9.877803349,11.6481682,8.7,52.3,7.4,5.053904919,19.13962975,9.620582549,29.21941301,41,4.017175573,3.193074458,84048,22.0557948,0.916245957,14.31976922,8.701086893,187.7312424,85.22337735,9.660313885,21.24001171,17.21541229,0.297918483,49.88233695,36.90507109,11.0282021276596
"45","Michigan","Luce","No",6364,1465.77397260274,8628.37671232877,17.86690368,4.385813693,4.458170133,8.563535912,19.91970698,30.7,7.5,20,70,18.9087816,37.5,283.1,28.74132805,7.559175363,795,2094,698,3486,53,12,91.11111111,55.2404439,6.206040546,26.8,23,14.15539478,389,78.51758794,6.3,13.39092873,77,12.7,78.90803504,326.9459593,66.2031695142982,7.1221216307125,13.15771979,13.80279773,7.1,89.2,14.8,4.301204058,22.0328776529143,16.8935218118511,36.42188302,175,11.0378275771963,2.983416532,43196,61.59754224,8.163662170125,16.8593408920752,14.642515601938,23.98564758,81.14155251,10.27686532,16.50485437,20.56342512,0.311067453,41.12685023,51.36480169,0
"46","Michigan","Mackinac","No",10817,189,9530,17.59151477,4.455691267,4.683417379,7.008547009,18.78896244,34.9,6.6,30,89,17.09302748,27.27272727,168,17.515052,11.47455867,1339,1199,568,2577,47,23,90.52631579,57.12856428,9.651004094,20.8,36,16.80358477,274,92.16419974,7,15.39196941,67,29.9,77.55468532,410.3153815,66.2031695142982,7.1221216307125,13.22117641,14.4582001,15.8,83.9,15.6,13.38899939,22.0328776529143,13.08061584,35.9320394,64,11.0378275771963,2.871427297,46645,52.28182546,8.163662170125,23.37266293,18.43283995,85.95295745,73.92127176,12.8685259,15.74116993,28.04301474,0.633215005,48.93853713,77.22487177,0
